Group,Test,Abbreviation or symbol,Test parameters,Default test method,Alternative 1,Alternative 2,Alternative 3,Sample type,Field sample mass,Test specimen type / mass and number,,,Test specimen dimensions & grain size requirements,,,,,,Scheduling notes
,,,,,,,,Intact (right circular cylinder or rectangular block),,type,mass,number,Diameter (D),Length (L),Width (W),Height (H),Max grain size (Dmax),Fraction,
,,,,,,,,,kg,,kg,,mm,mm,mm,mm,mm,d /D,
Strength,Compressive strength of concrete cores ,fc,compressive strength,BS EN 12504-1:2019,,,,Right circular cylinder ,,Right circular cylinder ,,1,100,,,(1.0 - 2.0)D,,,
,Ultrasonic pulse velocity,Vc,P-wave (compression) velocity / defects,BS EN 12504-4:2021,,,,Right circular cylinder or rectangular blocks,,Right circular cylinder or rectangular blocks,,1,100,,,(1.0 - 2.0)D,,,
,Tensile splitting strength ,fct,tensile strength,BS EN 12390-6:2023,,,,Right circular cylinder ,,Right circular cylinder ,,1,100,,,(1.0 - 2.0)D,,,
,Rebound number (Schmidt hammer),,compressive strength,BS EN 12504-2:2021,,,,Right circular cylinder ,,Right circular cylinder ,,1,100,,,(1.0 - 2.0)D,,,
Chemical & Petrography,Petrography, ,alkali-silica reaction / mineralogy / voids,BS 1881-211,ASTM C856 /C856M-20,,,Right circular cylinder or rectangular blocks,,Right circular cylinder or rectangular blocks,,1,,,,,,,
,Carbonation,,depth of carbonation,,,,,Right circular cylinder or rectangular blocks,,Right circular cylinder or rectangular blocks,,1,,,,,,,
,Potassium & sodium content,Na2Oeq,alkali content,,,,,Powder,,Powder,,1,,,,,,,
,Chloride content,,,BS EN 1744-1:9 (2009+A1:2012),ASTM C1152 /C1152M-20,,,Powder,,Powder,,1,,,,,,,
,Alkali-silica reaction,ASR,alkali-silica reaction,,,,,Right circular cylinder ,,Right circular cylinder ,,1,,,,,,,
,SEM /EDS,SEM,alkali-silica reaction / mineralogy / voids,,,,,Pieces,,Pieces,,1,,,,,,,
,Powder XRD,pXRD,mineralogy,,,,,Powder,,Powder,0.2,1,,,,,,,
,,,,,,,,Powder,,Powder,0.2,1,,,,,,,
